timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/10 16:35:29.841, 27.89 W, 5 %, 0 %, 15360 MiB, 14680 MiB, 229 MiB, 45
2022/11/10 16:35:30.346, 27.78 W, 7 %, 0 %, 15360 MiB, 14522 MiB, 387 MiB, 45
2022/11/10 16:35:30.850, 27.99 W, 6 %, 0 %, 15360 MiB, 14380 MiB, 529 MiB, 45
2022/11/10 16:35:31.354, 26.40 W, 5 %, 0 %, 15360 MiB, 14256 MiB, 653 MiB, 45
2022/11/10 16:35:31.861, 26.40 W, 5 %, 0 %, 15360 MiB, 14146 MiB, 763 MiB, 45
2022/11/10 16:35:32.365, 55.22 W, 5 %, 1 %, 15360 MiB, 13552 MiB, 1357 MiB, 45
2022/11/10 16:35:32.869, 71.30 W, 90 %, 52 %, 15360 MiB, 13394 MiB, 1515 MiB, 47
2022/11/10 16:35:33.375, 82.77 W, 97 %, 54 %, 15360 MiB, 13394 MiB, 1515 MiB, 47
2022/11/10 16:35:33.886, 71.35 W, 98 %, 56 %, 15360 MiB, 13394 MiB, 1515 MiB, 48
2022/11/10 16:35:34.392, 69.72 W, 96 %, 49 %, 15360 MiB, 13394 MiB, 1515 MiB, 48
2022/11/10 16:35:34.900, 44.69 W, 97 %, 50 %, 15360 MiB, 13394 MiB, 1515 MiB, 48
2022/11/10 16:35:35.409, 71.39 W, 94 %, 55 %, 15360 MiB, 13394 MiB, 1515 MiB, 48
2022/11/10 16:35:35.916, 67.28 W, 92 %, 51 %, 15360 MiB, 13394 MiB, 1515 MiB, 49
2022/11/10 16:35:36.424, 71.40 W, 91 %, 51 %, 15360 MiB, 13394 MiB, 1515 MiB, 49
2022/11/10 16:35:36.939, 69.09 W, 90 %, 51 %, 15360 MiB, 13394 MiB, 1515 MiB, 49
2022/11/10 16:35:37.444, 57.02 W, 95 %, 55 %, 15360 MiB, 13394 MiB, 1515 MiB, 49
2022/11/10 16:35:37.949, 72.04 W, 93 %, 53 %, 15360 MiB, 13394 MiB, 1515 MiB, 50
2022/11/10 16:35:38.453, 64.77 W, 96 %, 49 %, 15360 MiB, 13394 MiB, 1515 MiB, 50
2022/11/10 16:35:38.963, 68.99 W, 96 %, 52 %, 15360 MiB, 13394 MiB, 1515 MiB, 50
2022/11/10 16:35:39.471, 73.71 W, 97 %, 52 %, 15360 MiB, 12440 MiB, 2469 MiB, 50
2022/11/10 16:35:39.990, 63.87 W, 99 %, 86 %, 15360 MiB, 6598 MiB, 8311 MiB, 50
2022/11/10 16:35:40.495, 72.24 W, 100 %, 89 %, 15360 MiB, 6598 MiB, 8311 MiB, 50
2022/11/10 16:35:41.001, 73.61 W, 100 %, 85 %, 15360 MiB, 6598 MiB, 8311 MiB, 51
2022/11/10 16:35:41.509, 72.38 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 51
2022/11/10 16:35:42.014, 66.48 W, 100 %, 83 %, 15360 MiB, 4800 MiB, 10109 MiB, 51
2022/11/10 16:35:42.531, 69.93 W, 100 %, 85 %, 15360 MiB, 4800 MiB, 10109 MiB, 51
2022/11/10 16:35:43.039, 66.69 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 51
2022/11/10 16:35:43.543, 71.60 W, 100 %, 89 %, 15360 MiB, 4800 MiB, 10109 MiB, 51
2022/11/10 16:35:44.048, 71.95 W, 100 %, 87 %, 15360 MiB, 4800 MiB, 10109 MiB, 52
2022/11/10 16:35:44.553, 67.22 W, 100 %, 87 %, 15360 MiB, 4800 MiB, 10109 MiB, 52
2022/11/10 16:35:45.065, 70.91 W, 100 %, 85 %, 15360 MiB, 4800 MiB, 10109 MiB, 52
2022/11/10 16:35:45.572, 66.87 W, 100 %, 85 %, 15360 MiB, 4800 MiB, 10109 MiB, 52
2022/11/10 16:35:46.078, 69.64 W, 100 %, 83 %, 15360 MiB, 4800 MiB, 10109 MiB, 52
2022/11/10 16:35:46.586, 34.18 W, 40 %, 34 %, 15360 MiB, 4800 MiB, 10109 MiB, 51
2022/11/10 16:35:47.090, 84.87 W, 94 %, 48 %, 15360 MiB, 4800 MiB, 10109 MiB, 53
2022/11/10 16:35:47.601, 69.23 W, 91 %, 53 %, 15360 MiB, 4800 MiB, 10109 MiB, 53
2022/11/10 16:35:48.114, 67.32 W, 91 %, 52 %, 15360 MiB, 4800 MiB, 10109 MiB, 53
2022/11/10 16:35:48.619, 66.14 W, 95 %, 54 %, 15360 MiB, 4800 MiB, 10109 MiB, 53
2022/11/10 16:35:49.124, 73.80 W, 95 %, 54 %, 15360 MiB, 4800 MiB, 10109 MiB, 53
2022/11/10 16:35:49.632, 79.79 W, 97 %, 53 %, 15360 MiB, 4800 MiB, 10109 MiB, 53
2022/11/10 16:35:50.140, 69.65 W, 97 %, 56 %, 15360 MiB, 4800 MiB, 10109 MiB, 53
2022/11/10 16:35:50.649, 69.24 W, 97 %, 50 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:35:51.175, 61.35 W, 97 %, 49 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:35:51.682, 70.41 W, 95 %, 54 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:35:52.188, 73.52 W, 95 %, 50 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:35:52.698, 69.40 W, 89 %, 51 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:35:53.205, 66.73 W, 88 %, 51 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:35:53.714, 60.33 W, 95 %, 54 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:35:54.243, 78.91 W, 100 %, 96 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:35:54.749, 79.84 W, 100 %, 85 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:35:55.257, 75.23 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:35:55.766, 73.76 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:35:56.274, 72.34 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:35:56.781, 75.97 W, 100 %, 83 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:35:57.289, 65.01 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:35:57.799, 68.95 W, 100 %, 85 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:35:58.306, 71.36 W, 100 %, 85 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:35:58.814, 66.73 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:35:59.323, 74.84 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:35:59.832, 70.91 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:36:00.339, 67.32 W, 100 %, 82 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:36:00.848, 33.50 W, 100 %, 81 %, 15360 MiB, 4800 MiB, 10109 MiB, 54
2022/11/10 16:36:01.351, 72.13 W, 71 %, 45 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:36:01.856, 83.11 W, 97 %, 52 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:36:02.367, 69.40 W, 98 %, 55 %, 15360 MiB, 4800 MiB, 10109 MiB, 55
2022/11/10 16:36:02.874, 67.44 W, 96 %, 49 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:03.382, 70.18 W, 97 %, 49 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:03.891, 69.89 W, 91 %, 48 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:04.398, 92.00 W, 90 %, 45 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:04.912, 69.54 W, 95 %, 53 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:05.417, 69.83 W, 94 %, 54 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:05.921, 69.19 W, 90 %, 51 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:06.430, 70.48 W, 91 %, 51 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:06.933, 81.25 W, 98 %, 55 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:07.443, 70.72 W, 95 %, 54 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:07.959, 63.34 W, 97 %, 48 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:08.465, 69.68 W, 100 %, 69 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:08.971, 65.40 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:09.479, 68.50 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:09.986, 66.38 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:10.494, 72.58 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:11.003, 70.77 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:11.511, 77.49 W, 100 %, 88 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:12.018, 69.24 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:12.527, 67.22 W, 100 %, 85 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:13.034, 66.34 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:13.545, 68.21 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:14.052, 74.65 W, 100 %, 85 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:14.561, 67.03 W, 100 %, 81 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:15.070, 69.34 W, 100 %, 83 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:15.581, 42.27 W, 3 %, 0 %, 15360 MiB, 4800 MiB, 10109 MiB, 56
2022/11/10 16:36:16.122, 68.21 W, 95 %, 54 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:16.632, 73.81 W, 97 %, 52 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:17.145, 70.72 W, 98 %, 55 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:17.654, 68.80 W, 96 %, 49 %, 15360 MiB, 4800 MiB, 10109 MiB, 57
2022/11/10 16:36:18.162, 68.50 W, 97 %, 48 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:18.669, 71.50 W, 94 %, 51 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:19.185, 85.07 W, 94 %, 48 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:19.691, 72.19 W, 89 %, 50 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:20.196, 66.58 W, 89 %, 50 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:20.705, 69.54 W, 94 %, 53 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:21.209, 70.66 W, 95 %, 53 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:21.721, 68.91 W, 91 %, 52 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:22.270, 70.42 W, 91 %, 51 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
