timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/15 16:18:47.146, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 27
2022/11/15 16:18:47.654, 14.01 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 27
2022/11/15 16:18:48.160, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 27
2022/11/15 16:18:48.665, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 27
2022/11/15 16:18:49.171, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 27
2022/11/15 16:18:49.677, 13.92 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 27
2022/11/15 16:18:50.183, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 27
2022/11/15 16:18:50.689, 13.92 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:51.195, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:51.701, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:52.206, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:52.712, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 27
2022/11/15 16:18:53.218, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 27
2022/11/15 16:18:53.723, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 27
2022/11/15 16:18:54.229, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:54.735, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:55.241, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:55.746, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:56.252, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:56.758, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:57.263, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:57.769, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:58.275, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:58.781, 14.01 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:59.286, 13.91 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:18:59.792, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:00.298, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:00.804, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:01.309, 13.92 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:01.815, 13.91 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:02.321, 14.00 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:02.828, 14.00 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:03.333, 13.90 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:03.839, 13.99 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:04.345, 14.00 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:04.850, 13.97 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:05.356, 14.00 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:05.862, 13.99 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:06.367, 14.01 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:06.873, 14.01 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:07.379, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:07.884, 13.89 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:08.390, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:08.896, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:09.401, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:09.907, 14.00 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:10.413, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:10.918, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:11.424, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:11.930, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:12.435, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:12.941, 13.93 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:13.447, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:13.952, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:14.458, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:14.964, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:15.470, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:15.976, 14.03 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:16.481, 14.03 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:16.987, 14.03 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:17.494, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:18.000, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:18.505, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:19.011, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:19.516, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:20.022, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:20.528, 14.01 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:21.034, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:21.539, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:22.045, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:22.551, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:23.057, 13.99 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:23.562, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:24.068, 14.02 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 28
2022/11/15 16:19:24.573, 25.81 W, 0 %, 0 %, 15360 MiB, 14897 MiB, 12 MiB, 29
2022/11/15 16:19:25.084, 25.58 W, 2 %, 0 %, 15360 MiB, 14748 MiB, 161 MiB, 29
2022/11/15 16:19:25.588, 25.58 W, 4 %, 0 %, 15360 MiB, 14682 MiB, 227 MiB, 29
2022/11/15 16:19:26.092, 25.64 W, 4 %, 0 %, 15360 MiB, 14612 MiB, 297 MiB, 29
2022/11/15 16:19:26.595, 25.30 W, 3 %, 0 %, 15360 MiB, 14546 MiB, 363 MiB, 29
2022/11/15 16:19:27.099, 25.39 W, 3 %, 0 %, 15360 MiB, 14476 MiB, 433 MiB, 29
2022/11/15 16:19:27.603, 25.39 W, 4 %, 0 %, 15360 MiB, 14404 MiB, 505 MiB, 29
2022/11/15 16:19:28.107, 25.39 W, 3 %, 0 %, 15360 MiB, 14326 MiB, 583 MiB, 29
2022/11/15 16:19:28.611, 25.39 W, 2 %, 0 %, 15360 MiB, 14238 MiB, 671 MiB, 29
2022/11/15 16:19:29.116, 25.78 W, 7 %, 0 %, 15360 MiB, 13954 MiB, 955 MiB, 29
2022/11/15 16:19:29.620, 25.39 W, 0 %, 0 %, 15360 MiB, 13954 MiB, 955 MiB, 29
2022/11/15 16:19:30.125, 25.39 W, 0 %, 0 %, 15360 MiB, 13954 MiB, 955 MiB, 29
2022/11/15 16:19:30.629, 25.39 W, 0 %, 0 %, 15360 MiB, 13954 MiB, 955 MiB, 30
2022/11/15 16:19:31.132, 25.26 W, 0 %, 0 %, 15360 MiB, 13954 MiB, 955 MiB, 30
2022/11/15 16:19:31.636, 25.39 W, 0 %, 0 %, 15360 MiB, 13954 MiB, 955 MiB, 30
2022/11/15 16:19:32.140, 25.34 W, 0 %, 0 %, 15360 MiB, 13954 MiB, 955 MiB, 30
2022/11/15 16:19:32.644, 25.39 W, 0 %, 0 %, 15360 MiB, 13954 MiB, 955 MiB, 30
2022/11/15 16:19:33.149, 25.39 W, 41 %, 1 %, 15360 MiB, 13284 MiB, 1625 MiB, 30
2022/11/15 16:19:33.653, 25.37 W, 0 %, 0 %, 15360 MiB, 13284 MiB, 1625 MiB, 30
2022/11/15 16:19:34.157, 25.39 W, 0 %, 0 %, 15360 MiB, 13284 MiB, 1625 MiB, 30
2022/11/15 16:19:34.661, 25.39 W, 0 %, 0 %, 15360 MiB, 13284 MiB, 1625 MiB, 30
2022/11/15 16:19:35.164, 25.44 W, 0 %, 0 %, 15360 MiB, 13284 MiB, 1625 MiB, 30
2022/11/15 16:19:35.668, 25.39 W, 0 %, 0 %, 15360 MiB, 13284 MiB, 1625 MiB, 30
2022/11/15 16:19:36.172, 25.30 W, 0 %, 0 %, 15360 MiB, 13284 MiB, 1625 MiB, 30
2022/11/15 16:19:36.676, 25.29 W, 0 %, 0 %, 15360 MiB, 13284 MiB, 1625 MiB, 30
2022/11/15 16:19:37.179, 25.48 W, 38 %, 1 %, 15360 MiB, 13278 MiB, 1631 MiB, 30
2022/11/15 16:19:37.683, 25.39 W, 0 %, 0 %, 15360 MiB, 13278 MiB, 1631 MiB, 30
2022/11/15 16:19:38.187, 25.34 W, 0 %, 0 %, 15360 MiB, 13278 MiB, 1631 MiB, 30
2022/11/15 16:19:38.691, 25.32 W, 0 %, 0 %, 15360 MiB, 13278 MiB, 1631 MiB, 30
2022/11/15 16:19:39.196, 25.29 W, 0 %, 0 %, 15360 MiB, 13278 MiB, 1631 MiB, 30
2022/11/15 16:19:39.700, 25.29 W, 0 %, 0 %, 15360 MiB, 13278 MiB, 1631 MiB, 30
2022/11/15 16:19:40.204, 25.29 W, 0 %, 0 %, 15360 MiB, 13278 MiB, 1631 MiB, 31
2022/11/15 16:19:40.708, 25.32 W, 0 %, 0 %, 15360 MiB, 13278 MiB, 1631 MiB, 31
2022/11/15 16:19:41.211, 25.39 W, 0 %, 0 %, 15360 MiB, 13278 MiB, 1631 MiB, 31
2022/11/15 16:19:41.715, 25.30 W, 0 %, 0 %, 15360 MiB, 13278 MiB, 1631 MiB, 31
2022/11/15 16:19:42.219, 25.29 W, 0 %, 0 %, 15360 MiB, 13278 MiB, 1631 MiB, 31
2022/11/15 16:19:42.723, 25.39 W, 3 %, 0 %, 15360 MiB, 12712 MiB, 2197 MiB, 31
2022/11/15 16:19:43.226, 25.57 W, 3 %, 0 %, 15360 MiB, 12712 MiB, 2197 MiB, 31
2022/11/15 16:19:43.733, 25.58 W, 0 %, 0 %, 15360 MiB, 12702 MiB, 2207 MiB, 31
2022/11/15 16:19:44.236, 25.68 W, 5 %, 0 %, 15360 MiB, 12605 MiB, 2304 MiB, 31
2022/11/15 16:19:44.740, 25.68 W, 0 %, 0 %, 15360 MiB, 12605 MiB, 2304 MiB, 31
