timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/10 18:03:40.676, 27.00 W, 10 %, 0 %, 15360 MiB, 14606 MiB, 303 MiB, 44
2022/11/10 18:03:41.181, 27.10 W, 6 %, 0 %, 15360 MiB, 14488 MiB, 421 MiB, 44
2022/11/10 18:03:41.685, 27.00 W, 5 %, 0 %, 15360 MiB, 14360 MiB, 549 MiB, 44
2022/11/10 18:03:42.190, 26.70 W, 2 %, 0 %, 15360 MiB, 14234 MiB, 675 MiB, 44
2022/11/10 18:03:42.695, 51.54 W, 5 %, 0 %, 15360 MiB, 13798 MiB, 1111 MiB, 45
2022/11/10 18:03:43.200, 71.21 W, 99 %, 71 %, 15360 MiB, 12334 MiB, 2575 MiB, 46
2022/11/10 18:03:43.704, 73.56 W, 97 %, 65 %, 15360 MiB, 12334 MiB, 2575 MiB, 47
2022/11/10 18:03:44.208, 70.07 W, 100 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 47
2022/11/10 18:03:44.716, 72.48 W, 100 %, 63 %, 15360 MiB, 8506 MiB, 6403 MiB, 47
2022/11/10 18:03:45.222, 36.63 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 46
2022/11/10 18:03:45.726, 72.87 W, 99 %, 71 %, 15360 MiB, 8506 MiB, 6403 MiB, 48
2022/11/10 18:03:46.269, 71.21 W, 99 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 48
2022/11/10 18:03:46.780, 72.29 W, 100 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 48
2022/11/10 18:03:47.285, 76.21 W, 100 %, 55 %, 15360 MiB, 8506 MiB, 6403 MiB, 48
2022/11/10 18:03:47.793, 46.21 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 48
2022/11/10 18:03:48.299, 71.21 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 49
2022/11/10 18:03:48.805, 70.76 W, 98 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 49
2022/11/10 18:03:49.312, 71.40 W, 100 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 49
2022/11/10 18:03:49.830, 65.89 W, 100 %, 50 %, 15360 MiB, 8506 MiB, 6403 MiB, 49
2022/11/10 18:03:50.334, 91.41 W, 13 %, 11 %, 15360 MiB, 8506 MiB, 6403 MiB, 49
2022/11/10 18:03:50.838, 71.56 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 50
2022/11/10 18:03:51.343, 66.73 W, 99 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 50
2022/11/10 18:03:51.848, 70.91 W, 100 %, 70 %, 15360 MiB, 8506 MiB, 6403 MiB, 50
2022/11/10 18:03:52.353, 62.13 W, 100 %, 58 %, 15360 MiB, 8506 MiB, 6403 MiB, 50
2022/11/10 18:03:52.859, 73.12 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 50
2022/11/10 18:03:53.365, 73.56 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 50
2022/11/10 18:03:53.870, 70.42 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 50
2022/11/10 18:03:54.378, 70.81 W, 100 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 51
2022/11/10 18:03:54.884, 72.29 W, 100 %, 56 %, 15360 MiB, 8506 MiB, 6403 MiB, 50
2022/11/10 18:03:55.392, 69.72 W, 39 %, 34 %, 15360 MiB, 8506 MiB, 6403 MiB, 50
2022/11/10 18:03:55.897, 72.48 W, 99 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 51
2022/11/10 18:03:56.402, 69.54 W, 99 %, 64 %, 15360 MiB, 8506 MiB, 6403 MiB, 51
2022/11/10 18:03:56.917, 68.70 W, 100 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 51
2022/11/10 18:03:57.422, 54.36 W, 100 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 51
2022/11/10 18:03:57.925, 69.34 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 51
2022/11/10 18:03:58.476, 70.91 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 51
2022/11/10 18:03:58.981, 69.68 W, 99 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 52
2022/11/10 18:03:59.485, 69.34 W, 100 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 52
2022/11/10 18:03:59.990, 33.01 W, 100 %, 52 %, 15360 MiB, 8506 MiB, 6403 MiB, 51
2022/11/10 18:04:00.498, 44.19 W, 57 %, 45 %, 15360 MiB, 8506 MiB, 6403 MiB, 52
2022/11/10 18:04:01.005, 81.70 W, 96 %, 63 %, 15360 MiB, 8506 MiB, 6403 MiB, 52
2022/11/10 18:04:01.575, 71.01 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 52
2022/11/10 18:04:02.082, 69.64 W, 100 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 52
2022/11/10 18:04:02.588, 34.20 W, 91 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 51
2022/11/10 18:04:03.092, 71.01 W, 96 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 52
