timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/11 19:03:08.465, 27.72 W, 0 %, 0 %, 15360 MiB, 14897 MiB, 12 MiB, 42
2022/11/11 19:03:08.973, 28.31 W, 8 %, 0 %, 15360 MiB, 14698 MiB, 211 MiB, 43
2022/11/11 19:03:09.477, 28.41 W, 8 %, 0 %, 15360 MiB, 14544 MiB, 365 MiB, 43
2022/11/11 19:03:09.981, 28.38 W, 5 %, 0 %, 15360 MiB, 14416 MiB, 493 MiB, 43
2022/11/11 19:03:10.485, 27.62 W, 5 %, 0 %, 15360 MiB, 14278 MiB, 631 MiB, 43
2022/11/11 19:03:10.989, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:11.494, 27.61 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:11.998, 27.52 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:12.501, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:13.006, 27.52 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:13.510, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:14.014, 27.61 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:14.518, 27.51 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:15.022, 27.51 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:15.525, 27.61 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:16.031, 27.61 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:16.534, 27.59 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:17.038, 27.61 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:17.542, 27.61 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:18.046, 27.61 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:18.549, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:19.053, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:19.557, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:20.061, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:20.565, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:21.070, 27.61 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 43
2022/11/11 19:03:21.573, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 44
2022/11/11 19:03:22.077, 27.71 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 44
2022/11/11 19:03:22.581, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 44
2022/11/11 19:03:23.085, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 44
2022/11/11 19:03:23.589, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 44
2022/11/11 19:03:24.092, 27.61 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 44
2022/11/11 19:03:24.596, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 44
2022/11/11 19:03:25.100, 27.61 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 44
2022/11/11 19:03:25.604, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 44
2022/11/11 19:03:26.109, 27.62 W, 0 %, 0 %, 15360 MiB, 14250 MiB, 659 MiB, 44
