timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/11 18:56:13.129, 15.94 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 18:56:13.637, 15.84 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 18:56:14.144, 15.94 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 18:56:14.650, 15.94 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 18:56:15.156, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 18:56:15.662, 15.84 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 18:56:16.167, 16.14 W, 0 %, 0 %, 15360 MiB, 14909 MiB, 0 MiB, 41
2022/11/11 18:56:16.682, 28.00 W, 0 %, 0 %, 15360 MiB, 14762 MiB, 147 MiB, 41
2022/11/11 18:56:17.186, 27.62 W, 6 %, 0 %, 15360 MiB, 14602 MiB, 307 MiB, 41
2022/11/11 18:56:17.690, 27.61 W, 6 %, 0 %, 15360 MiB, 14442 MiB, 467 MiB, 41
2022/11/11 18:56:18.194, 27.51 W, 6 %, 0 %, 15360 MiB, 14304 MiB, 605 MiB, 41
2022/11/11 18:56:18.697, 27.61 W, 6 %, 0 %, 15360 MiB, 14140 MiB, 769 MiB, 41
2022/11/11 18:56:19.203, 27.51 W, 6 %, 0 %, 15360 MiB, 13990 MiB, 919 MiB, 42
2022/11/11 18:56:19.707, 27.61 W, 5 %, 0 %, 15360 MiB, 13834 MiB, 1075 MiB, 42
2022/11/11 18:56:20.211, 27.61 W, 6 %, 0 %, 15360 MiB, 13662 MiB, 1247 MiB, 42
2022/11/11 18:56:20.715, 27.51 W, 0 %, 0 %, 15360 MiB, 13612 MiB, 1297 MiB, 42
2022/11/11 18:56:21.218, 30.54 W, 38 %, 25 %, 15360 MiB, 13180 MiB, 1729 MiB, 42
2022/11/11 18:56:21.723, 28.67 W, 28 %, 17 %, 15360 MiB, 13180 MiB, 1729 MiB, 42
2022/11/11 18:56:22.227, 27.90 W, 38 %, 25 %, 15360 MiB, 13180 MiB, 1729 MiB, 42
2022/11/11 18:56:22.731, 28.77 W, 38 %, 25 %, 15360 MiB, 13180 MiB, 1729 MiB, 42
2022/11/11 18:56:23.236, 41.53 W, 32 %, 19 %, 15360 MiB, 13180 MiB, 1729 MiB, 42
2022/11/11 18:56:23.740, 27.59 W, 36 %, 25 %, 15360 MiB, 13180 MiB, 1729 MiB, 43
2022/11/11 18:56:24.246, 28.89 W, 38 %, 25 %, 15360 MiB, 13180 MiB, 1729 MiB, 42
2022/11/11 18:56:24.750, 30.72 W, 28 %, 19 %, 15360 MiB, 13180 MiB, 1729 MiB, 42
2022/11/11 18:56:25.254, 27.71 W, 38 %, 25 %, 15360 MiB, 13180 MiB, 1729 MiB, 43
2022/11/11 18:56:25.764, 35.81 W, 35 %, 24 %, 15360 MiB, 13180 MiB, 1729 MiB, 43
2022/11/11 18:56:26.269, 27.71 W, 38 %, 25 %, 15360 MiB, 13180 MiB, 1729 MiB, 43
2022/11/11 18:56:26.773, 41.09 W, 33 %, 22 %, 15360 MiB, 13180 MiB, 1729 MiB, 43
2022/11/11 18:56:27.277, 31.03 W, 37 %, 25 %, 15360 MiB, 13180 MiB, 1729 MiB, 43
2022/11/11 18:56:27.781, 27.71 W, 38 %, 25 %, 15360 MiB, 13180 MiB, 1729 MiB, 43
2022/11/11 18:56:28.285, 27.71 W, 36 %, 4 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:56:28.789, 27.61 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:56:29.292, 27.41 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:56:29.797, 27.51 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:56:30.301, 27.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:56:30.805, 27.41 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
