timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/11 20:25:04.440, 16.48 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 46
2022/11/11 20:25:04.948, 16.48 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 46
2022/11/11 20:25:05.454, 16.47 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 46
2022/11/11 20:25:05.960, 16.77 W, 0 %, 0 %, 15360 MiB, 14909 MiB, 0 MiB, 46
2022/11/11 20:25:06.468, 28.57 W, 2 %, 0 %, 15360 MiB, 14756 MiB, 153 MiB, 47
2022/11/11 20:25:06.972, 28.57 W, 9 %, 0 %, 15360 MiB, 14634 MiB, 275 MiB, 47
2022/11/11 20:25:07.476, 28.47 W, 6 %, 0 %, 15360 MiB, 14508 MiB, 401 MiB, 47
2022/11/11 20:25:07.980, 28.56 W, 7 %, 0 %, 15360 MiB, 14372 MiB, 537 MiB, 47
2022/11/11 20:25:08.484, 28.08 W, 6 %, 0 %, 15360 MiB, 14244 MiB, 665 MiB, 47
2022/11/11 20:25:08.988, 28.16 W, 5 %, 0 %, 15360 MiB, 14140 MiB, 769 MiB, 47
2022/11/11 20:25:09.493, 28.08 W, 0 %, 0 %, 15360 MiB, 14140 MiB, 769 MiB, 47
2022/11/11 20:25:09.997, 28.08 W, 0 %, 0 %, 15360 MiB, 14140 MiB, 769 MiB, 47
2022/11/11 20:25:10.502, 28.08 W, 0 %, 0 %, 15360 MiB, 13546 MiB, 1363 MiB, 47
2022/11/11 20:25:11.006, 28.08 W, 0 %, 0 %, 15360 MiB, 13546 MiB, 1363 MiB, 47
2022/11/11 20:25:11.510, 28.77 W, 41 %, 5 %, 15360 MiB, 11764 MiB, 3145 MiB, 47
2022/11/11 20:25:12.016, 69.38 W, 100 %, 64 %, 15360 MiB, 9448 MiB, 5461 MiB, 49
2022/11/11 20:25:12.520, 71.19 W, 100 %, 64 %, 15360 MiB, 9448 MiB, 5461 MiB, 50
2022/11/11 20:25:13.026, 66.19 W, 100 %, 63 %, 15360 MiB, 9448 MiB, 5461 MiB, 50
2022/11/11 20:25:13.530, 68.69 W, 100 %, 68 %, 15360 MiB, 9448 MiB, 5461 MiB, 50
2022/11/11 20:25:14.038, 67.23 W, 100 %, 63 %, 15360 MiB, 9448 MiB, 5461 MiB, 50
2022/11/11 20:25:14.546, 69.53 W, 100 %, 68 %, 15360 MiB, 9448 MiB, 5461 MiB, 51
2022/11/11 20:25:15.051, 69.57 W, 100 %, 60 %, 15360 MiB, 9448 MiB, 5461 MiB, 51
2022/11/11 20:25:15.558, 68.60 W, 100 %, 70 %, 15360 MiB, 9448 MiB, 5461 MiB, 51
2022/11/11 20:25:16.065, 66.19 W, 100 %, 63 %, 15360 MiB, 9448 MiB, 5461 MiB, 52
2022/11/11 20:25:16.574, 68.31 W, 100 %, 69 %, 15360 MiB, 9448 MiB, 5461 MiB, 52
2022/11/11 20:25:17.080, 72.03 W, 100 %, 63 %, 15360 MiB, 9448 MiB, 5461 MiB, 52
2022/11/11 20:25:17.586, 69.48 W, 100 %, 67 %, 15360 MiB, 9448 MiB, 5461 MiB, 52
2022/11/11 20:25:18.092, 70.95 W, 100 %, 65 %, 15360 MiB, 9448 MiB, 5461 MiB, 52
2022/11/11 20:25:18.600, 70.22 W, 100 %, 64 %, 15360 MiB, 9448 MiB, 5461 MiB, 52
2022/11/11 20:25:19.107, 71.93 W, 100 %, 68 %, 15360 MiB, 9448 MiB, 5461 MiB, 53
2022/11/11 20:25:19.614, 75.01 W, 100 %, 63 %, 15360 MiB, 9448 MiB, 5461 MiB, 53
2022/11/11 20:25:20.120, 72.32 W, 100 %, 68 %, 15360 MiB, 9448 MiB, 5461 MiB, 53
2022/11/11 20:25:20.627, 63.69 W, 100 %, 61 %, 15360 MiB, 9448 MiB, 5461 MiB, 53
2022/11/11 20:25:21.134, 63.85 W, 100 %, 67 %, 15360 MiB, 9448 MiB, 5461 MiB, 54
2022/11/11 20:25:21.638, 69.82 W, 100 %, 62 %, 15360 MiB, 9448 MiB, 5461 MiB, 54
2022/11/11 20:25:22.147, 68.65 W, 100 %, 64 %, 15360 MiB, 9448 MiB, 5461 MiB, 54
2022/11/11 20:25:22.654, 68.11 W, 100 %, 66 %, 15360 MiB, 9448 MiB, 5461 MiB, 54
2022/11/11 20:25:23.158, 69.14 W, 100 %, 62 %, 15360 MiB, 9448 MiB, 5461 MiB, 54
2022/11/11 20:25:23.667, 67.62 W, 100 %, 68 %, 15360 MiB, 9448 MiB, 5461 MiB, 55
2022/11/11 20:25:24.174, 70.95 W, 100 %, 61 %, 15360 MiB, 9448 MiB, 5461 MiB, 55
2022/11/11 20:25:24.681, 68.99 W, 100 %, 69 %, 15360 MiB, 9448 MiB, 5461 MiB, 55
2022/11/11 20:25:25.189, 69.18 W, 100 %, 63 %, 15360 MiB, 9448 MiB, 5461 MiB, 55
2022/11/11 20:25:25.696, 71.68 W, 100 %, 68 %, 15360 MiB, 9448 MiB, 5461 MiB, 55
2022/11/11 20:25:26.203, 71.44 W, 100 %, 66 %, 15360 MiB, 9448 MiB, 5461 MiB, 55
2022/11/11 20:25:26.711, 74.52 W, 100 %, 64 %, 15360 MiB, 9448 MiB, 5461 MiB, 55
2022/11/11 20:25:27.218, 69.53 W, 100 %, 68 %, 15360 MiB, 9448 MiB, 5461 MiB, 56
2022/11/11 20:25:27.726, 76.32 W, 100 %, 63 %, 15360 MiB, 9448 MiB, 5461 MiB, 56
2022/11/11 20:25:28.234, 67.91 W, 100 %, 68 %, 15360 MiB, 9448 MiB, 5461 MiB, 56
2022/11/11 20:25:28.741, 69.43 W, 100 %, 60 %, 15360 MiB, 9448 MiB, 5461 MiB, 56
2022/11/11 20:25:29.248, 37.59 W, 21 %, 1 %, 15360 MiB, 11762 MiB, 3147 MiB, 55
2022/11/11 20:25:29.751, 37.47 W, 21 %, 1 %, 15360 MiB, 11762 MiB, 3147 MiB, 55
2022/11/11 20:25:30.254, 37.09 W, 5 %, 0 %, 15360 MiB, 11762 MiB, 3147 MiB, 55
2022/11/11 20:25:30.758, 32.68 W, 15 %, 1 %, 15360 MiB, 11762 MiB, 3147 MiB, 54
2022/11/11 20:25:31.262, 29.26 W, 11 %, 0 %, 15360 MiB, 11762 MiB, 3147 MiB, 54
2022/11/11 20:25:31.765, 29.56 W, 21 %, 1 %, 15360 MiB, 11762 MiB, 3147 MiB, 54
2022/11/11 20:25:32.270, 29.17 W, 0 %, 0 %, 15360 MiB, 11762 MiB, 3147 MiB, 54
2022/11/11 20:25:32.774, 29.17 W, 2 %, 0 %, 15360 MiB, 11762 MiB, 3147 MiB, 54
2022/11/11 20:25:33.279, 29.17 W, 4 %, 0 %, 15360 MiB, 11762 MiB, 3147 MiB, 53
2022/11/11 20:25:33.783, 29.08 W, 4 %, 0 %, 15360 MiB, 11762 MiB, 3147 MiB, 53
2022/11/11 20:25:34.287, 29.07 W, 4 %, 0 %, 15360 MiB, 11762 MiB, 3147 MiB, 53
2022/11/11 20:25:34.791, 29.17 W, 4 %, 0 %, 15360 MiB, 11762 MiB, 3147 MiB, 53
2022/11/11 20:25:35.295, 29.07 W, 2 %, 0 %, 15360 MiB, 11762 MiB, 3147 MiB, 53
2022/11/11 20:25:35.799, 29.17 W, 4 %, 0 %, 15360 MiB, 11762 MiB, 3147 MiB, 53
2022/11/11 20:25:36.303, 29.66 W, 4 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 53
2022/11/11 20:25:36.870, 32.80 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 53
