timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/11 21:21:59.679, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:21:59.737, 15.77 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:21:59.792, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:21:59.848, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:21:59.903, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:21:59.958, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.014, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.069, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.125, 15.76 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.180, 15.76 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.235, 15.76 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.291, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.346, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.401, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.457, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.513, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.570, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.626, 15.75 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.681, 15.75 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.737, 15.76 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.792, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.847, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.903, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:00.958, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.014, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.069, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.124, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.180, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.235, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.290, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.346, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.401, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.456, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.514, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.569, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.625, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.680, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.735, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.791, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.846, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.902, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:01.957, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.012, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.068, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.123, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.178, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.234, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.289, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.344, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.399, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.455, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.510, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.565, 15.65 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:22:02.621, 15.66 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
