timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/11 21:15:17.368, 16.06 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.426, 16.06 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.481, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.536, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.593, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.649, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.705, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.760, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.815, 16.06 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.871, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.926, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:17.982, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.037, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.093, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.148, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.203, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.259, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.314, 16.05 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.369, 16.04 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.425, 16.04 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.480, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.535, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.590, 16.04 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.646, 16.04 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.701, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.757, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.812, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.867, 15.96 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.922, 16.05 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:18.977, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:19.032, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:19.088, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:19.143, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:19.198, 16.05 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
2022/11/11 21:15:19.253, 16.05 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 41
