timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/16 20:07:35.831, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:35.849, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:35.864, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:35.879, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:35.895, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:35.910, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:35.925, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:35.940, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:35.955, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:35.970, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:35.985, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.000, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.015, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.030, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.047, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.062, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.077, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.092, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.107, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.122, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.138, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.153, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.168, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.183, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.198, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.213, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.228, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.243, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.258, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.273, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.289, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.304, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.319, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.334, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.349, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.364, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.379, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.394, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.409, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.424, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.440, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.454, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.469, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.485, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.500, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.515, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.530, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.545, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.560, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.575, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.590, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.605, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 33
2022/11/16 20:07:36.621, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.636, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.651, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.666, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.681, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.696, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.711, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
2022/11/16 20:07:36.726, 14.53 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 34
