timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/11 21:56:37.852, 15.75 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.865, 15.75 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.876, 15.75 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.886, 15.75 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.896, 15.75 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.906, 15.75 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.916, 15.75 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.926, 15.75 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.936, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.946, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.956, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.966, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.976, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.986, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:37.996, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:38.006, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:38.016, 15.85 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:38.032, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:38.062, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:38.074, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:38.087, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:38.103, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:38.123, 15.95 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 39
2022/11/11 21:56:38.134, 25.77 W, 0 %, 0 %, 15360 MiB, 14909 MiB, 0 MiB, 39
2022/11/11 21:56:38.145, 25.77 W, 0 %, 0 %, 15360 MiB, 14909 MiB, 0 MiB, 39
2022/11/11 21:56:38.156, 25.77 W, 0 %, 0 %, 15360 MiB, 14909 MiB, 0 MiB, 39
2022/11/11 21:56:38.166, 25.77 W, 0 %, 0 %, 15360 MiB, 14909 MiB, 0 MiB, 39
2022/11/11 21:56:38.177, 25.77 W, 0 %, 0 %, 15360 MiB, 14909 MiB, 0 MiB, 39
2022/11/11 21:56:38.197, 25.77 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.206, 25.77 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.215, 25.77 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.225, 25.77 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.234, 27.72 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.244, 27.72 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.253, 27.72 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.262, 27.72 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.273, 27.72 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.282, 27.72 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.291, 27.72 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.299, 27.72 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.308, 27.72 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.323, 27.72 W, 0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB, 39
2022/11/11 21:56:38.336, 28.02 W, 0 %, 0 %, 15360 MiB, 14897 MiB, 12 MiB, 39
2022/11/11 21:56:38.362, 28.02 W, 0 %, 0 %, 15360 MiB, 14897 MiB, 12 MiB, 39
2022/11/11 21:56:38.372, 28.02 W, 0 %, 0 %, 15360 MiB, 14897 MiB, 12 MiB, 39
2022/11/11 21:56:38.384, 28.02 W, 0 %, 0 %, 15360 MiB, 14897 MiB, 12 MiB, 39
2022/11/11 21:56:38.395, 28.02 W, 0 %, 0 %, 15360 MiB, 14897 MiB, 12 MiB, 39
2022/11/11 21:56:38.407, 28.02 W, 0 %, 0 %, 15360 MiB, 14897 MiB, 12 MiB, 39
