timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/16 19:15:02.615, 14.62 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:03.123, 14.72 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:03.629, 14.64 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:04.135, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:04.641, 14.64 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:05.146, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:05.652, 14.62 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:06.158, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:06.664, 14.64 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:07.170, 14.64 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:07.676, 14.64 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:08.181, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:08.687, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:09.193, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:09.699, 14.62 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:10.205, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:10.710, 14.62 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:11.216, 14.62 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:11.722, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:12.228, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:12.734, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:13.239, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:13.745, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:14.251, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:14.756, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:15.262, 14.63 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:15.768, 14.52 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:16.274, 14.62 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 36
2022/11/16 19:15:16.794, 26.57 W, 5 %, 0 %, 15360 MiB, 14696 MiB, 213 MiB, 36
2022/11/16 19:15:17.299, 26.47 W, 8 %, 0 %, 15360 MiB, 14474 MiB, 435 MiB, 36
2022/11/16 19:15:17.803, 26.65 W, 6 %, 0 %, 15360 MiB, 14310 MiB, 599 MiB, 36
2022/11/16 19:15:18.307, 26.27 W, 6 %, 0 %, 15360 MiB, 14152 MiB, 757 MiB, 36
2022/11/16 19:15:18.812, 26.19 W, 6 %, 0 %, 15360 MiB, 13988 MiB, 921 MiB, 36
2022/11/16 19:15:19.316, 26.17 W, 8 %, 0 %, 15360 MiB, 13856 MiB, 1053 MiB, 36
2022/11/16 19:15:19.820, 26.28 W, 6 %, 0 %, 15360 MiB, 13694 MiB, 1215 MiB, 37
2022/11/16 19:15:20.324, 58.03 W, 48 %, 17 %, 15360 MiB, 10306 MiB, 4603 MiB, 37
2022/11/16 19:15:20.830, 65.73 W, 100 %, 59 %, 15360 MiB, 10306 MiB, 4603 MiB, 39
2022/11/16 19:15:21.334, 70.81 W, 100 %, 65 %, 15360 MiB, 7582 MiB, 7327 MiB, 39
2022/11/16 19:15:21.838, 63.85 W, 100 %, 56 %, 15360 MiB, 7582 MiB, 7327 MiB, 40
